GDP, households, family, Population, number of household
91,Knott,$16110 ,$29451 ,$35537 ,16346,6414
92,Wayne,$16109 ,$25993 ,$31305 ,20813,8646
93,Lawrence,$15903 ,$28865 ,$35781 ,15860,6239
94,Floyd,$15883 ,$27907 ,$32344 ,39451,16060
95,Powell,$15796 ,$31815 ,$38776 ,12613,4834
96,Adair,$15790 ,$29834 ,$40427 ,18656,7285
97,Estill,$15725 ,$28324 ,$36232 ,14672,5984
98,Rockcastle,$15621 ,$26946 ,$37509 ,17056,6750
99,Monroe,$15534 ,$28439 ,$37335 ,10963,4509
100,Bath,$15487 ,$30458 ,$37874 ,11591,4587
101,Menifee,$15418 ,$29740 ,$41157 ,6306,2440
102,Robertson,$15374 ,$27254 ,$48821 ,2282,902
103,Whitley,$15258 ,$28122 ,$35469 ,35637,13575
104,Harlan,$15224 ,$26582 ,$32447 ,29278,11789
105,Cumberland,$15025 ,$28135 ,$33470 ,6856,2883
106,Lewis,$14915 ,$28376 ,$35146 ,13870,5497
107,Clinton,$14802 ,$23788 ,$28187 ,10272,4358
108,Martin,$14785 ,$25173 ,$30018 ,12929,4516
109,Leslie,$14753 ,$26857 ,$35941 ,11310,4555
110,Bell,$14627 ,$24724 ,$32060 ,28691,11787
111,Casey,$14252 ,$26592 ,$35949 ,15955,6351
112,Knox,$14101 ,$21493 ,$30724 ,31883,12722
113,Jackson,$13935 ,$21928 ,$28349 ,13494,5486
114,Magoffin,$13849 ,$22779 ,$38411 ,13333,5309
115,Elliott,$13072 ,$22097 ,$33220 ,7852,2773
116,Lee,$12983 ,$25129 ,$32862 ,7887,2910
117,Clay,$12300 ,$20175 ,$28862 ,21730,7732
118,McCreary,$12197 ,$22643 ,$26421 ,18306,6477
119,Wolfe,$11214 ,$20910 ,$22489 ,7355,3065
120,Owsley,$10767 ,$19351 ,$22961 ,4755,5555
